Name,Created,Tags,Updated
Lokpal & Lokayukta,"January 5, 2019 11:34 PM","Appointment to various Constitutional posts, Responsibilities of various Constitutional Bodies, Statutory regulatory and various quasi-judicial bodies","January 6, 2019 12:23 AM"
Atal Solar Krishi Pump Yojana,"January 6, 2019 12:37 AM","Development processes and the development industry the role of NGOs SHGs, Government policies and interventions for development, Infrastructure- energy, Major crops cropping patterns in various parts of the country, different types of irrigation and irrigation systems storage, e-technology in the aid of farmers, transport and marketing of agricultural produce","April 29, 2019 12:27 AM"
10% quota for poor,"January 9, 2019 7:24 PM",Reservation,"January 10, 2019 10:29 PM"
Amicus Curiae,"January 10, 2019 10:47 PM",Judiciary,"January 10, 2019 10:51 PM"
