Name,Created,Tags,Updated
Industrial Revolution,"April 29, 2019 12:40 AM",,"April 29, 2019 12:40 AM"
World Wars,"April 29, 2019 12:42 AM",,"April 29, 2019 12:42 AM"
Redrawal of National Boundries,"April 29, 2019 12:43 AM",,"April 29, 2019 12:43 AM"
Colonization & Decolonization,"April 29, 2019 12:44 AM",,"April 29, 2019 12:44 AM"
Communism,"April 29, 2019 12:45 AM",,"April 29, 2019 12:45 AM"
Capitalism,"April 29, 2019 12:46 AM",,"April 29, 2019 12:46 AM"
Socialism,"April 29, 2019 12:46 AM",,"April 29, 2019 12:46 AM"
